Id,Name,Occurrences,Interests
kdyRvDgAAAAJ,Dominic Thomas,1,"['information systems', 'virtual teams', 'socio-technical systems', 'collaboration']"
w4zG56EAAAAJ,Robert Hogan,1,"['psychology', 'personality', 'leadership', 'leadership development', 'talent management']"
iiz1Z6wAAAAJ,S Alexander Haslam,1,"['Social identity', 'Identity', 'Social psychology', 'Group processes', 'Leadership']"
mtpqKTkAAAAJ,GRAHAM B JONES,2,"['drug delivery', 'technology innovation', 'digital health', 'digital medicine', 'digital biomarkers']"
VRqoh2cAAAAJ,Justin M. Wright,2,"['innovation', 'digital health', 'connected health']"
0zmf-roAAAAJ,Crystal Machado,2,"['early childhood', 'writing development and instruction', 'curriculum', 'leadership', 'mentoring']"
wIdzoc8AAAAJ,Thais da C. L. Alves,1,"['Construction Engineering and Management', 'Lean Construction', 'Project-based Management', 'Engineering Education']"
SpiymwgAAAAJ,Dean Reed,1,"['Lean Construction', 'Virtual Design & Construction', 'Integrated Project Delivery']"
irPu_UUAAAAJ,Paul Paulus,1,"['groups', 'social psychology', 'organizational psychology', 'creativity', 'innovation']"
z0AQMNEAAAAJ,Jared Kenworthy,1,"['Social Psychology', 'Intergroup Relations', 'Intergroup Contact', 'Group Dynamics', 'Group Creativity']"
amtcXpQAAAAJ,Frode Drevland,1,[]
sGW3w9YAAAAJ,Jardar Lohne,1,"['ethics', 'project management', 'Fénelon', 'coins']"
6-GuaHAAAAAJ,Ole Jonny Klakegg,1,"['Project Management', 'Project Governance']"
dsSCssoAAAAJ,Dr. hamada fawzy abuzid,1,['leadership and quality']
CiRT4gQAAAAJ,David Kommer,1,[]
AT-q6IUAAAAJ,Harry Sax,1,['Patient Safety. Surgery. Medical Economics']
BwPVBnEAAAAJ,Grete Rindahl,1,"['organizational ergonomics', 'safety', 'integrated operations', 'nuclear decommissioning']"
-wN-sFUAAAAJ,Jon McCormack,1,"['Creativity', 'Electronic Art', 'Evolutionary Art & Music', 'Generative Art', 'Sound Art']"
LuBGvdAAAAAJ,Patrick Hutchings,1,[]
DBl8Dn8AAAAJ,Toby Gifford,1,['Interactive Music Systems']
VND7iOIAAAAJ,Matthew Yee-King,1,"['Computer Music', 'Sound Synthesis', 'Autonomic Agents', 'Education Technology', 'Computing Education']"
XjjgHWoAAAAJ,Barbara Neuhofer,1,"['Experience Design', 'Positive Psychology', 'Transformative Experience', 'eTourism']"
9jWAU7QAAAAJ,Roman Egger,1,"['eTourism', 'Data Science', 'Tourism Management', 'Innovations in Tourism']"
dJMIIGoAAAAJ,Sara Horton,1,['Education']
uwKypzEAAAAJ,Terry Eggenberger,1,"['interprofessional practice', 'caring science', 'leadership']"
yCI0HgIAAAAJ,Rose O Sherman,2,"['nursing leadership', 'healthcare leadership', 'strengths coaching']"
q3qrvBoAAAAJ,Kathryn B. Keller,1,"['Cardiac Arrhythmia Knowledge', 'Interprofessional Communication & Teamwork', 'Caring Science']"
JUhEkTgAAAAJ,Patrick Brian Bell,1,['School Psychology']
ir2eSuMAAAAJ,"Pascale Benoliel, PhD",1,"['Educational leadership and Policy', 'Global Governance', 'Team Leadership', 'Boundary Management', 'Minorities']"
PxHxHCQAAAAJ,Anit Somech,1,"['Organizational Psychology', 'OCB', 'Teamwork']"
xHDKvUQAAAAJ,Thomas R Harvey,1,['leadership']
bZCDuAcAAAAJ,Manuel London,1,"['Leader Development', '360 Degree Feedback & Coaching', 'Training', 'Performance Management', 'Promotion Decisions']"
9cVi1u0AAAAJ,Winston Sieck,1,['Cognitive Psychology']
Pi0A91kAAAAJ,Shane T. Mueller,1,"['applied cognitive psychology', 'XAI', 'cognitive modeling', 'applied cognitive science', 'mathematical psychology']"
d18BBGsAAAAJ,Caroline Letor,2,"['organisation scolaire', 'Leadership', 'organisation apprenante', 'travail collaboratif']"
ZZ_ev7YAAAAJ,SUKARMAN PURBA,1,[]
o9wFmrcAAAAJ,Erika Revida,1,['Public Administration']
w0YiZlIAAAAJ,BONARAJA PURBA,1,"['PENDIDIKAN TEKNIK MESIN', 'ILMU EKONOMI']"
d_AA10AAAAAJ,MULIANA MULIANA,1,['biologi galus']
JQGuTMsAAAAJ,"Robert K. Cameron, Ph.D",1,"['Agile methods', 'agile systems engineering', 'lean methods']"
LOgIg74AAAAJ,Professor Michelle Cleary,1,"['Nursing', 'Mental  Health', 'Research', 'Leadership']"
MTBx4DoAAAAJ,"Paul Barach, B.Med.Sci, MD, MPH, Maj (ret.)",1,"['Patient/Surgical Safety', 'quality improvement', 'human factors', 'handoffs', 'implementation science']"
j6u2ghYAAAAJ,Peter Cosman,1,"['Surgery', 'Cancer', 'Obesity', 'Medical Education', 'Medical Informatics']"
hphwRhgAAAAJ,Eric R. Wright,1,"['Medical Sociology', 'Mental Health and Addictions', 'Sexual Health', 'LGBTQ Studies', 'HIV/STI Prevention']"
0tcE_7AAAAAJ,David R. Dunaetz,2,"['Organizational Psychology', 'Social Psychology', 'Missiology', 'Conflict']"
Uj-sclIAAAAJ,Gordon D Hoople,1,"['Engineering Education', 'Design', 'Engineering Ethics', 'STEAM']"
MEUtCZYAAAAJ,Austin Choi-Fitzpatrick,1,"['Social Movements', 'Human Rights', 'Political Sociology', 'Technology', 'Innovation']"
rnfka0IAAAAJ,J. Ignacio Canales,1,"['Strategy Making Process', 'Dynamic Capabilities', 'Subsidiary Strategy', 'Evolution']"
_yTE-pgAAAAJ,Adrian Caldart,1,"['corporate strategy', 'international business']"
dHbOyVAAAAAJ,David Desplaces,1,"['entrepreneurship', 'regional development', 'economic freedom']"
AT15BZMAAAAJ,Judy McKimm,1,"['medical education', 'leadership']"
pCEG2YAAAAAJ,Alison Clark,1,"['Participatory methods', ""young children's rights"", 'slow pedagogies', 'early childhood design']"
ZtwF69sAAAAJ,Justin Purl,1,[]
1kBXy70AAAAJ,Rodger W. Griffeth,1,['Employee turnover and retention']
mpvXBokAAAAJ,Lawrence Hamer,1,['Marketing']
LdgIakUAAAAJ,Matthew R. Fairholm,3,"['Public Administration', 'Leadership']"
ir5zSI8AAAAJ,Michael K. Dzordzormenyoh PhD,1,"['Criminal Justice', 'Healthcare', 'Immigration', 'Election', '& Education']"
L4-4Tm0AAAAJ,Silvia Lorincova,1,"['human resource management', 'corporate culture', 'employee motivation', 'personal management']"
d4ZOxKYAAAAJ,Zdenko Stacho,1,['management']
75akAncAAAAJ,Jonathan Eckert,1,"['collective leadership', 'teaching quality', 'continuous improvement', 'assessment', 'STEM']"
zcnND0wAAAAJ,Prof. Dr. Naveed Akhtar,1,"['Management', 'Learning organization', 'HR', 'Strategy']"
-QcMzy4AAAAJ,Thomas E. Doyle,1,"['Medical AI', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence', 'Cyber-Physical-Health-Systems']"
bqqlYxAAAAAJ,Jody Condit Fagan,1,"['Academic Libraries', 'Web Technologies', 'Leadership']"
RQ4JrvkAAAAJ,Jennifer A Keach,1,"['Workplace Learning', 'Organizational Development', 'Productivity', 'Career Development', 'Leadership']"
ks8tbGUAAAAJ,Shamaila Gull,1,"['Management', 'Organizational Behaviour', 'Sustainability', 'Human Resource Management', 'Marketing Management']"
MIck3YcAAAAJ,Prof Sattar Bawany,2,"['Transforming Next Generation of Leaders', 'Organisational Development', 'Leading in a VUCA World']"
BcFsoAUAAAAJ,"Badaruddin Bin Ibrahim, Ph.D.",1,"['Engineering Design', 'Mechanical Engineering', 'Test and Measurement in Education', 'Engineering Education']"
S5nBbRsAAAAJ,Josette M.P. Gevers,1,"['organizational behavior', 'teams', 'time management', 'creativity', 'adaptation']"
BUs6KHcAAAAJ,arshad samad,2,"['Grammar Instruction', 'Language Assessment and Corpus Studies']"
uQ1CKLcAAAAJ,Alec Grant,1,"['Qualitative Research', 'Autoethnography', 'Narrative Inquiry']"
p1FOZfgAAAAJ,Deborah Smith,1,"['Audit', 'Payout Policy', 'Agency Theory', 'Earnings management']"
VPUOmAwAAAAJ,Tracy H. Porter,1,"['Health Care Administration', 'Strategic Human Resource Management', 'Individual Differences']"
yiw44i4AAAAJ,E. G. Verlander,1,"['Business', 'Management', 'Consulting', 'Organization Behavior', 'Strategy']"
JW9kTXEAAAAJ,Yuha Jung,2,"['Museum Studies', 'Systems Thinking', 'Arts Administration', 'Cultural Diversity', 'Ethnography']"
K6wdWM0AAAAJ,Ted Eschenbach,1,"['engineering economy', 'social security', 'agile', 'real options']"
or0uFhMAAAAJ,Neal Lewis,1,"['Engineering Management', 'Engineering Economy', 'Operations Management']"
NmIpigkAAAAJ,Gillian Nicholls,1,"['Engineering Economic Analysis', 'Operations Management', 'Decision Making', 'Engineering Education']"
5Be7gMIAAAAJ,Matthew Eriksen,1,"['Leadership', 'Leadership Development', 'Leadership Storytelling']"
IBX7E_cAAAAJ,Mariza Andrade,1,['statistical genetics']
pVv3CdUAAAAJ,BRATIANU CONSTANTIN,1,"['Knowledge Management', 'Academy of Romanian Scientists']"
7y29gFAAAAAJ,Simona Vasilache,1,[]
Y7J31msAAAAJ,Dr Abdussalam Shibani,1,"['TQM', 'BIM', 'PM']"
